UNIQUE ID,PONUMBER,INVOICE NO,INVOICE DATE,VENDOR/SUPPLIER NO,DMR Number,gateno,gatedate,GATE ENTRY TIME,Plant,PO DATE,Name of Person Responsible for Creating the Object,Date on which the record was created,Material Staging Time (Local Relating to a Plant),Transport Details,BOE number,BOE Date,HAWB Number,MAWB Number,Vehicle Number,Number of Boxes/Palletes
321401,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,1
321400,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,1
321401,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,3
321400,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,3
321401,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,1
321400,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,1
321401,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,1
321400,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,1
321401,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,1
321400,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,1
321401,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,1
321400,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,1
321401,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,1
321400,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,1
321401,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,1
321400,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,1
321401,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,1
321400,3648654348,36436836,26-09-2025,ILJIN CHENNAI,DMR2500145,,26-09-2025,15:49,1040 SRI RANGA ,26-09-2025,Thanya Software,26-09-2025,16:44,ROAD,,,,,,1
