PO No,Delivery Note,Header Text,DMR No,Item No,Material No,Qty,Serial No,File Link
34234523,INV31032026,INV31032026,,20,999-WMD000036-E,500,,ftp://10.108.5.13/AAFEES/101 Files/31032026121655IMG_20230408_080109.jpg
34234523,INV31032026,INV31032026,,20,999-WMD000036-E,500,,ftp://10.108.5.13/AAFEES/101 Files/31032026121655IMG_20230408_080109.jpg
34234523,INV31032026,INV31032026,,10,999-WMD000037-E,500,,ftp://10.108.5.13/AAFEES/101 Files/31032026121655IMG_20230408_080109.jpg
34234523,INV31032026,INV31032026,,10,999-WMD000037-E,500,,ftp://10.108.5.13/AAFEES/101 Files/31032026121655IMG_20230408_080109.jpg
34234523,INV31032026,INV31032026,,30,999-WMD000028-E,1000,,ftp://10.108.5.13/AAFEES/101 Files/31032026121655IMG_20230408_080109.jpg
